English,Hebrew
oak ,אַלוֹן
trips ,טיולים
scaring ,צלקת
avery ,avery
awhile ,בנתיים
sofa ,סַפָּה
conscious ,מוּדָע
swords ,חרבות
instincts ,אינסטינקטים
deliberately ,בכוונה
starve ,לְהַרְעִיב
j. ,j.
venus ,וֵנוּס
olive ,זית
maniac ,מְטוּרָף
psychological ,פְּסִיכוֹלוֹגִי
robinson ,רובינסון
soo ,אז או
belle ,יְפֵהפִיָה
landscape ,נוֹף
straw ,קש
dam ,סֶכֶר
mandy ,מנדי
sayin ,sayin
accuse ,לְהַאֲשִׁים
is- ,הוא-
rehab ,גמילה
switzerland ,שוויץ
agenda ,סֵדֶר הַיוֹם
glue ,דֶבֶק
salesman ,איש מכירות
diner ,מסעדה
projects ,פרוייקטים
floors ,קומות
mainly ,בעיקר
biological ,בִּיוֹלוֹגִי
sincere ,כן
weigh ,לשקול
pad ,כָּרִית
swiss ,שְׁוֵיצָרִי
cue ,רְמִיזָה
witches ,מכשפות
opposed ,בניגוד
brand-new ,חדש לגמרי
tourists ,תיירים
sneaking ,מתגנב
harvard ,הרווארד
spying ,בִּלוּשׁ
sketch ,סְקִיצָה
parliament ,פַּרלָמֶנט
behold ,לְהַבִּיט
blamed ,האשים
topic ,נוֹשֵׂא
offices ,משרדים
sacrificed ,מוּקרָב
loop ,לוּלָאָה
drivers ,נהגים
battles ,קרבות
blond ,בלונדינית
plead ,לִטעוֹן
races ,מירוצים
tanya ,טניה
salmon ,סלמון
bizarre ,מוּזָר
rico ,ריקו
isabel ,איזבל
wig ,פֵּאָה
reaches ,מגיע
heights ,גְזוּת
i-i-i ,אני-אני
possibilities ,אפשרויות
wax ,דוֹנַג
travels ,נוסע
confidential ,סוֹדִי
pursuit ,מִרדָף
herd ,עֵדֶר
scissors ,מספריים
cd ,CD
spies ,מרגלים
exams ,בחינות
invention ,הַמצָאָה
explaining ,מסבירה
replacement ,תַחֲלִיף
bombing ,הַפצָצָה
erik ,אריק
springs ,מעיינות
chelsea ,צ'לסי
sabrina ,סברינה
kicks ,בעיטות
integrity ,יושרה
dash ,לזנק
jae ,ג 'יי
senate ,סֵנָט
mentally ,מבחינה נפשית
flee ,לברוח
gangster ,גַנגְסְטֶר
beautifully ,יָפֶה
roberts ,רוברטס
slim ,רָזֶה
choosing ,בְּחִירָה
promising ,מַבְטִיחַ
objective ,מַטָרָה
joyce ,ג'ויס
altogether ,לְגַמרֵי
attract ,לִמְשׁוֹך
ernie ,ernnie
melanie ,מגלני
prep ,-
neighbours ,שכנים
nailed ,מְמוּסמָר
briefcase ,תיק מסמכים
buzzer ,זַמזָם
quitting ,מתפתחת
puppet ,בּוּבָּה
restore ,לשחזר
dozens ,עשרות
betting ,הִתעָרְבוּת
pancakes ,פנקייקים
corridor ,פְּרוֹזדוֹר
embarrass ,לִהַבִיך
visits ,מבקרים
database ,מאגר מידע
cheryl ,שריל
achieved ,הושג
sucking ,יְנִיקָה
encourage ,לְעוֹדֵד
grades ,ציוני
gps ,ג'י.פי. אס
barks ,נובח
patterns ,דפוסים
relevant ,רלוונטי
mafia ,מַפִיָה
hudson ,הדסון
expense ,הוֹצָאָה
intact ,שָׁלֵם
occasionally ,לִפְעָמִים
kiddo ,ילדון
heartbeat ,דופק לב
identical ,זֵהֶה
cigar ,סִיגָר
billions ,מיליארדים
alec ,alc
gained ,רכש
venice ,ונציה
classical ,קלַאסִי
noodles ,נודלס
consistent ,עִקבִי
clip ,לְקַצֵץ
resign ,לְהִתְפַּטֵר
insects ,חרקים
failing ,כושל
organic ,אורגני
seize ,לִתְפּוֹס
charging ,טְעִינָה
mug ,ספל
iris ,קַשׁתִית
crow ,עורב
ella ,ella.
fountain ,מִזרָקָה
observation ,תַצְפִּית
abortion ,הפלה
railroad ,רכבת
straighten ,לְסַדֵר
legitimate ,לֵגִיטִימִי
sting ,לַעֲקוֹץ
youngest ,הכי יפה
fork ,מזלג
du ,du
flynn ,פליין
ciao ,ciao
coroner ,קרונר
jonas ,יונאס
marching ,צְעִידָה
touches ,נוגע
jade ,יַרקָן
feared ,חשש
griffin ,גריפין
expedition ,מִשׁלַחַת
forcing ,לכפות
neighbour ,שָׁכֵן
digital ,דִיגִיטָלי
deeds ,מעשים
milan ,מילאנו
bernie ,ברני
a- ,א-
attic ,עֲלִיַת גַג
jr ,ג 'וניור
whores ,זונות
sentimental ,סֵנטִימֵנטָלִי
cooler ,מְצַנֵן
eun ,הֵאur
bert ,ברטר
feds ,פדס
reese ,ריס
plea ,טַעֲנָה
polly ,פוללי
metres ,מטרים
harmony ,הַרמוֹנִיָה
difficulty ,קושי
bands ,הלהקות
dried ,מיובש
aunty ,דודה
maker ,יַצרָן
randall ,רנדל
supporting ,תומך
brake ,בֶּלֶם
girlfriends ,חברה
features ,מאפיינים
photography ,צילום
vengeance ,נקמה
inappropriate ,לא ראוי
vacuum ,לִשְׁאוֹב
throws ,זורק
kane ,קַיִן
residents ,תושבים
endure ,לסבול
substance ,חומר
corrupt ,מוּשׁחָת
potter ,קַדָר
investigator ,חוֹקֵר
thread ,פְּתִיל
it ,זה
priests ,כוונאים
gap ,פער
whining ,הוֹבָלָה
scarf ,צָעִיף
institution ,מוֹסָד
immortal ,בן אלמוות
marsh ,בִּצָה
chapel ,קפלה
desperately ,נואשות
accidents ,תאונות
alcoholic ,כּוֹהָלִי
fabric ,בד
nazis ,nazis
railway ,מסילת רכבת
sal ,סאל
dame ,גְבֶרֶת
rebels ,מורדים
custom ,המותאם אישית
pension ,פֶּנסִיָה
cans ,פחיות
possess ,לְהַחזִיק
kira ,קירה
poster ,פּוֹסטֵר
developing ,מתפתח
addict ,מָכוּר
feature ,תכונה
cope ,להתמודד
lords ,אדונים
delightful ,מְהַנֶה
wrestling ,הַאָבְקוּת
c. ,c.
rio ,ריו
reduce ,לְהַפחִית
rescued ,הציל
peg ,יָתֵד
mercedes ,מרצדס
guaranteed ,מוּבטָח
emotionally ,רגשית
poland ,פּוֹלִין
accountant ,רואת חשבון
theories ,תיאוריות
me- ,לִי-
tumor ,גידול סרטני
automatic ,אוֹטוֹמָטִי
amusing ,משעשע
unnecessary ,מְיוּתָר
higgins ,היגינס
voting ,הַצבָּעָה
buster ,סטר
stadium ,אִצטַדיוֹן
visible ,גלוי
easter ,חג הפסחא
jeep ,ג'ִיפּ
dj ,DJ
les ,les
garcia ,גארציה
tracked ,במעקב
ignorant ,בור ועם הארץ
pledge ,מַשׁכּוֹן
deserted ,נָטוּשׁ
esther ,אסתר
rum ,רום
fisher ,פישר
wheelchair ,כיסא גלגלים
salvation ,ישועה
lester ,לסטר
wonders ,פלאים
clattering ,clattering
don`t ,דונם
maintenance ,תחזוקה
tobacco ,טַבָּק
underwater ,מתחת למים
divide ,לחלק
slightest ,קצת
discount ,הנחה
yoga ,יוֹגָה
vagina ,נַרְתִיק
rushing ,רץ
modest ,צָנוּעַ
make-up ,להשלים
wes ,ווס
reduced ,מוּפחָת
t. ,t.
whisper ,לַחַשׁ
pressing ,לחיצה
tops ,tops
variety ,מגוון
ignored ,התעלמו מהם
helena ,הלנה
writers ,סופרים
grain ,תְבוּאָה
essentially ,ביסודו של דבר
archie ,ארצ'י
ofthe ,של ה
individuals ,יחידים
meredith ,מרדית
gavin ,גוין
subtle ,עָדִין
interviews ,ראיונות
pinky ,פינקי
cord ,חוּט
sites ,אתרים
brennan ,ברנן
maddie ,maddie
vienna ,וינה
issued ,הפיקו
lasted ,נמשך
explosive ,חומר נפץ
origin ,מָקוֹר
unto ,אֶל
rogue ,נוכל
x-ray ,צילום רנטגן
superintendent ,מְפַקֵחַ
cody ,קודי
jacques ,ז'אק
ol ,אול
challenges ,האתגרים
corruption ,שְׁחִיתוּת
sullivan ,סאליבן
shutter ,תְרִיס
erase ,לִמְחוֹק
ski ,סקִי
forensics ,פלילי
flavor ,טעם
fastest ,המהיר ביותר
joon ,ג'ון
vet ,וטרינר
civilians ,אזרחים
lobster ,לובסטר
housing ,דיור
canal ,תְעָלָה
robots ,רובוטים
shade ,צֵל
ambitious ,שְׁאַפתָנִי
orchestra ,תִזמוֹרֶת
succeeded ,הצליח
guidance ,הַדְרָכָה
hence ,לָכֵן
bella ,בלה
seoul ,סיאול
jose ,חוזה
inevitable ,בִּלתִי נִמנַע
tick ,תִקתוּק
rival ,לְהִתְחַרוֹת
refuses ,מסרב
fiancé ,אָרוּס
purchase ,לִרְכּוֹשׁ
wander ,לשוטט
ireland ,אירלנד
hanna ,חנה
hanged ,מוּקָע
napoleon ,נפוליאון
elite ,עִלִית
craft ,מְלָאכָה
cult ,כת
whisky ,וויסקי
profits ,רווחים
shelf ,מַדָף
kai ,קאי
allowing ,מְאַפשֶׁר
chart ,תרשים
accusing ,התאוששות
buzzes ,זמזום
weekends ,סופי שבוע
humiliated ,מוּשׁפָל
fiancée ,אֲרוּסָה
hissing ,שְׁרִיקוּת
treats ,מטפל
granddaughter ,נֶכדָה
serena ,סראנה
submit ,שלח
supervisor ,מְפַקֵחַ
sniffing ,הֲרָחָה
resident ,תוֹשָׁב
tearing ,קְרִיעָה
obliged ,מְחוּיָב
opportunities ,הזדמנויות
knights ,אבירים
hangs ,תלוי
jerusalem ,ירושלים
stew ,נזיד
counted ,נספר
instruments ,כלים
triumph ,נצחון
nun ,נְזִירָה
frequency ,תדירות
resume ,קורות חיים
marines ,נֶחָתִים
distract ,להסיח את הדעה
satisfaction ,שביעות רצון
historical ,הִיסטוֹרִי
creates ,יוצר
costumes ,תחפושות
swedish ,שוודית
lizzie ,lizzie
depending ,תלוי
sour ,חָמוּץ
spark ,לְעוֹרֵר
freely ,בְּחוֹפְשִׁיוּת
scotty ,סקווטי
freaks ,פריקים
d.a. ,דוֹאַר.
shan ,שאן
globe ,גלוֹבּוּס
peak ,שִׂיא
sentenced ,נואש
fierce ,עַז
scam ,הונאה
hollow ,חָלוּל
anton ,אונון
hoo ,הַו
concentration ,ריכוז
presume ,הָמוֹן
invest ,להשקיע
eleanor ,אלינור
radical ,קיצוני
protective ,מָגֵן
smiles ,חיוכים
stunning ,מַדְהִים
frustrated ,מְתוּסכָּל
suspenseful ,מותח
breed ,גֶזַע
adore ,לְהַעֲרִיץ
controlling ,בקרה
reagan ,רֵיקָן
pasta ,פסטה
precinct ,קַפְּדָן
swallowed ,נִבלָע
execute ,לבצע
th ,th
towels ,מגבות
architect ,אַדְרִיכָל
delta ,דֶלתָא
honks ,honks.
whoo-hoo ,whoo-hoo.
preserve ,לשמור
dose ,מָנָה
stove ,תַנוּר
codes ,קודי
instantly ,באופן מיידי
bugger ,bugger
vivian ,ויויאן
yoon ,יוֹנָה
doo ,דו
haul ,לִגרוֹר
orphanage ,בית יתומים
bolt ,בְּרִיחַ
autograph ,חֲתִימָה
sharply ,באופן חד
habits ,הרגלים
villagers ,כפריים
cracks ,סדקים
dwight ,דויט
omar ,עומר
assembly ,הַרכָּבָה
meds ,תרסיסים
marge ,מַרגָרִינָה
magnetic ,מַגנֶטִי
romans ,הרומאים
joshua ,יהושע
sorted ,מְמוּיָן
assets ,הנכסים
insulted ,נֶעֱלָב
outstanding ,יוצא מן הכלל
essence ,מַהוּת
wardrobe ,אָרוֹן בְּגָדִים
ling ,ling
nam ,נעם
benson ,בנסון
restaurants ,מסעדות
disco ,דִיסקוֹ
flirting ,מפלרטטת
abilities ,יכולות
dolly ,מַבחֵשׁ
handful ,קוֹמֶץ
mice ,עכברים
pumpkin ,דלעת
bennett ,בנט
sweating ,מְיוֹזָע
anchor ,לְעַגֵן
thankful ,אֲסִיר תוֹדָה
interior ,פְּנִים
moore ,מור
urge ,דַחַף
surrounding ,מַקִיף
strain ,מתח
curtains ,וילונות
gypsy ,צועני
tomato ,עגבנייה
blanche ,בלאנש
bonds ,קשרים
compassion ,חֶמלָה
greece ,יָוָן
ceo ,"מנכ""ל"
arabic ,עֲרָבִית
examination ,בְּדִיקָה
participate ,לְהִשְׂתַתֵף
veins ,ורידים
cups ,כוסות
additional ,נוֹסָף
sofia ,סופיה
obsession ,דִבּוּק
responsibilities ,אחריות
ridge ,רֶכֶס
intent ,כוונה
axe ,גַרזֶן
reckless ,לֹא זָהִיר
missiles ,טילים
razor ,סכין גילוח
corners ,פינות
frightening ,מפחיד
rains ,גשם
mutant ,מוטציה
wally ,וואלי
whereas ,ואילו
heavenly ,שְׁמֵימִי
promoted ,קוֹדֵם
dang ,דאנג
maiden ,עַלמָה
comments ,הערות
batteries ,סוללות
bark ,לִנְבּוּחַ
seas ,הים
congressman ,קרנסמן
canyon ,קֶנִיוֹן
casual ,אַגָבִי
rack ,דְפוּפָה
expectations ,ציפיות
flowing ,זורם
adjust ,לְהַתְאִים
decade ,עָשׂוֹר
pine ,אורן
tails ,פרָאק
baxter ,baxter
wires ,חוטים
pigeon ,יוֹנָה
finance ,לְמַמֵן
respectable ,מְכוּבָּד
demonstration ,הפגנה
prank ,מתיחה
appointed ,מונה
treason ,בגידה
views ,צפיות
violin ,כינור
stir ,לְרַגֵשׁ
lifestyle ,סגנון חיים
realm ,תְחוּם
monty ,מונטי
roosevelt ,רוזוולט
missy ,מיסי
fitting ,הוֹלֵם
señor ,סאניור
tuna ,טונה
tuck ,לִתְחוֹב
inspection ,בְּדִיקָה
nursing ,הֲנָקָה
jared ,ג'רד
poop ,קקי
cardinal ,קַרדִינָל
altar ,מִזבֵּחַ
herman ,הרמן
carlo ,carlo
tourist ,תייר
conviction ,הַרשָׁעָה
jelly ,ג'לי
thrill ,רֶטֶט
lounge ,טְרַקלִין
cha ,cha
zip ,רוכסן
hogan ,הוגאן
dimension ,מֵמַד
choke ,לַחֲנוֹק
backing ,גיבוי
pains ,מַאֲמָצִים
bodyguard ,שׁוֹמֵר רֹאשׁ
rug ,שָׁטִיחַ
jaw ,לֶסֶת
ants ,נמלים
popcorn ,פופקורן
courtroom ,אולם בית המשפט
reynolds ,ריינולדס
pointless ,חסר טעם
documentary ,דוקומנטרי
donor ,תוֹרֵם
mortgage ,משכנתא
tunnels ,מנהרות
enforcement ,אַכִיפָה
demanding ,תוֹבְעָנִי
cocks ,זין
eliminated ,ביליתי
agh ,א a
rapidly ,מַהֵר
refer ,מתייחס
shipment ,מִשׁלוֹחַ
tasted ,טעם
fails ,נכשל
michel ,מישל
rushed ,מיהרתי
ordering ,הזמנת
efficient ,יָעִיל
outrageous ,מְזַעזֵעַ
gracious ,אָדִיב
slaughter ,לִשְׁחוֹט
marijuana ,מַרִיחוּאַנָה
monroe ,מונרו
pipes ,צינורות
backed ,גובה
vest ,אֵפוֹד
approached ,התקרב
mechanic ,מְכוֹנַאִי
mumbai ,מומבאי
arizona ,אריזונה
legendary ,אגדי
delayed ,מוּשׁהֶה
resolve ,לִפְתוֹר
relation ,יַחַס
amelia ,אמליה
mechanical ,מֵכָנִי
fare ,דמי נסיעה
karma ,קארמה
jefferson ,ג'פרסון
chorus ,מקהלה
nana ,ננה
extend ,לְהַאֲרִיך
info ,מידע
saddle ,אוּכָּף
pretended ,העמדתי
equals ,שווים
motherfuckers ,ללא שם:
artificial ,מְלָאכוּתִי
accomplish ,לְהַשִׂיג
burial ,קְבוּרָה
lynn ,לין
detention ,ריתוק
vow ,נדר
bake ,לֶאֱפוֹת
breakdown ,התקלקל
dvd ,DVD
delhi ,דלהי
selected ,נבחר
lightly ,קלות
em ,א.מ.
dealers ,סוחרי
e. ,ה.
layer ,שִׁכבָה
gown ,שִׂמלָה
courtney ,קורטני
incoming ,נִכנָס
reid ,ריד
countryside ,כפר
cheaper ,יותר זול
smelled ,הריח
devon ,דִידוֹן
ducks ,ברווזים
lethal ,קָטלָנִי
swan ,בַּרבּוּר
attending ,השתתפות
moonlight ,אוֹר הַלְבָנָה
ropes ,חִבֵּל
dispatch ,לְשַׁגֵר
notebook ,מחברת
punched ,מְחוֹרָר
identification ,זיהוי
contracts ,חוזים
scattered ,מְפוּזָר
trusting ,אמון
susie ,סוזי
prayed ,התפלל
volunteers ,מתנדבים
remembering ,זוכר
adopt ,לְאַמֵץ
calvin ,קלווין
worms ,תוֹלַעִים
consideration ,הִתחַשְׁבוּת
bandits ,שודדים
moses ,משה רבנו
zombies ,זומבים
lionel ,lionel
non ,לֹא
transplant ,לְהַשְׁתִיל
crackling ,פיצוח
loneliness ,בְּדִידוּת
frasier ,פריסיר
epic ,אפוס
gladly ,בשמחה
marcel ,מרסל
mon ,mon
frost ,כְּפוֹר
registration ,הַרשָׁמָה
prophet ,נָבִיא
launched ,הושק
constitution ,חוּקָה
roland ,רולנד
claude ,claude
sock ,גֶרֶב
dragons ,דרקונים
buyer ,קוֹנֶה
regulations ,תַקָנוֹן
mimi ,מימי
volcano ,הַר גַעַשׁ
accomplice ,שׁוּתָף
bounty ,נְדִיבוּת
hotels ,בתי מלון
favors ,טובות
opinions ,דעות
pressed ,לחוץ
asylum ,מקלט
blunt ,לְהַקְהוֹת
duel ,דוּ קְרָב
niles ,ניילס
consult ,לְהִתְיַעֵץ
nevertheless ,על כל פנים
carnival ,קַרנָבָל
au ,au
baba ,באבא
hah ,חה
paths ,נתיבים
rides ,rides.
tray ,מַגָשׁ
cynthia ,סינתיה
te ,te
handcuffs ,אֲזִיקִים
shannon ,שאנון
barrier ,מַחסוֹם
supposedly ,לכוונה
faggot ,הוֹמוֹסֶקסוּאָל
hunch ,תְחוּשָׁה
disposal ,רְשׁוּת
yacht ,יאכטה
stain ,כֶּתֶם
thoughtful ,מִתחַשֵׁב
healed ,נרפא
thinkin ,חושב
syndrome ,תִסמוֹנֶת
hairy ,שָׂעִיר
kansas ,קנזס
happiest ,הכי מאושר
entertain ,לְבַדֵר
y-you ,y- אתה
ambush ,מארב
recommended ,מוּמלָץ
childish ,יַלדוּתִי
meter ,מטר
gilbert ,gilbert
lease ,חוזה שכירות
climbed ,טיפס
nadia ,נדיה
unstable ,לֹא יַצִיב
exploded ,התפוצץ
apollo ,אפולו
rogers ,רוג'רס
politician ,פּוֹלִיטִיקָאִי
rs ,-
awaits ,מחכה
abraham ,אַבְרָהָם
evelyn ,אווולין
particles ,חלקיקים
violation ,הֲפָרָה
lined ,מרופד
amazed ,נדהם
lure ,לִפתוֹת
lyrics ,מילים
pod ,תַרמִיל
fran ,פראן
universal ,אוניברסלי
d.c. ,זֶרֶם יָשָׁר.
hulk ,האלק
drunken ,שיכורים
hyah ,"הִיא""ח"
continuing ,המשך
goals ,מטרות
warming ,הִתחַמְמוּת
dc ,זֶרֶם יָשָׁר
chemicals ,כימיקלים
owl ,יַנשׁוּף
xena ,xena
compromised ,נפגעת
grounded ,מקורקע
cane ,מקל
avenge ,לִנְקוֹם
dexter ,דקסטר
phantom ,דִמיוֹנִי
notion ,רעיון
directors ,דירקטורים
tease ,לְהַקְנִיט
forensic ,מִשׁפָּטִי
doe ,צְבִיָה
outcome ,תוֹצָאָה
slam ,לִטרוֹק
shattered ,התנפץ
cheque ,חשבון
baked ,אפוי
sought ,מבוקש
racket ,מחבט
hammond ,האמונד
rider ,רוכב
exotic ,אקזוטי
cory ,קורי
extent ,היקף
eighth ,שמונה
stack ,לַעֲרוֹם
wheat ,חיטה
shipping ,משלוח
satisfy ,לְסַפֵּק
kara ,קרה
departure ,יְצִיאָה
finch ,פָּרוּשׁ
blocking ,חסימת
regiment ,גְדוּד
kin ,משפחה
klaus ,קלאוס
surf ,לִגלוֹשׁ
kilometers ,קילומטרים
rises ,עולה
frighten ,להפחיד
abused ,התעללו
gerald ,ג'רלד
colours ,צבעים
hath ,hath.
marvin ,marvin
texts ,טקסטים
spaghetti ,ספגטי
chester ,צֶ'סטר
bosses ,בוסים
elephants ,פילים
snarling ,סנוער
contained ,מכיל
laurie ,לורי
arab ,ערבי
bumped ,חבוטה
chili ,צ'ילי
yah ,יאה
sustained ,ממושך
abducted ,חָטוּף
panicked ,נבהל
shallow ,רָדוּד
diving ,צְלִילָה
artie ,תארי
harriet ,הרי
generator ,גֵנֵרָטוֹר
federation ,פֵדֵרַצִיָה
mulder ,mulder
arresting ,מעצר
techniques ,טכניקות
feather ,נוֹצָה
printed ,הודפס
untie ,לְהַתִיר
jupiter ,צדק
hay ,חָצִיר
stalking ,הִתגַנְבוּת
conrad ,סראד
phony ,מְזוּיָף
brett ,ברט
whack ,מַהֲלוּמָה
scored ,הֵחָלֵשׁ
continent ,יַבֶּשֶׁת
articles ,תפקידים
oxford ,אוקספורד
z ,זָר
organize ,לְאַרגֵן
sensors ,חיישנים
shanghai ,שנחאי
wh ,מֶל
sniper ,צַלָף
noisy ,רוֹעֵשׁ
framed ,מְמוּסגָר
horizon ,אוֹגְרוֹן
twilight ,דמדומים
reflection ,הִשׁתַקְפוּת
masks ,מסכות
godfather ,סַנדָק
merchant ,סוֹחֵר
wages ,שכר
robe ,חלוק
waist ,מוֹתֶן
stinking ,מַסרִיחַ
disappointment ,אַכזָבָה
venture ,מיזם
voyage ,מַסָע
curry ,קָארִי
ominous ,מְאַיֵם
sunlight ,אוֹר שֶׁמֶשׁ
oui ,oui
overseas ,חוּץ לָאָרֶץ
casualties ,נפגעים
aaah ,aaah
mattress ,מִזרָן
grill ,גְרִיל
marketing ,שיווק
accepting ,קבלת
occupation ,כיבוש
deadline ,מועד אחרון
freed ,שוחרר
exhibit ,לְהַצִיג
poems ,שירי
echoing ,הִדהוּד
shin ,שׁוּקָה
compliments ,מחמאות
til ,til
define ,לְהַגדִיר
urine ,שֶׁתֶן
foreman ,מְנַהֵל עֲבוֹדָה
facial ,פַּרצוּפִי
p.a. ,פיה
combined ,מְשׁוּלָב
brody ,ברודי
probation ,על תנאי
reject ,לִדחוֹת
catches ,תופס
dances ,ריקודים
gemma ,גממה
pinch ,קַמצוּץ
ingredients ,רכיבים
ra ,ra
hurricane ,הוֹרִיקָן
chatting ,שִׁטחָה
mini ,מיני
heel ,עָקֵב
adding ,מוֹסִיף
bandit ,שׁוֹדֵד
destined ,מְיוּעָד
limo ,לימוזינה
spa ,ספָּא
graves ,קברים
turkish ,טורקי
listed ,רשום
corpses ,גוויות
matty ,מָתוּחַ
evacuate ,פינוי
publish ,לְפַרְסֵם
judith ,יהודית
banned ,אָסוּר
snaps ,snapps
cheeks ,לחייך
predict ,לנבא
ohio ,אוהיו
holland ,הוֹלַנד
confront ,לְהִתְעַמֵת
utterly ,לחלוטין
pals ,חָמִים
pilots ,לטייסים
umm ,אום
jonah ,יונה
ironic ,אִירוֹנִי
improved ,מְשׁוּפָּר
popping ,popping.
mills ,טחנות
farther ,רחוק יותר
delivering ,אספקת
skipper ,רב חובל
flattered ,מחמיא
coconut ,קוקוס
acknowledge ,לְהוֹדוֹת
shuts ,כיבוי
sweden ,שבדיה
hooray ,הידד
sip ,לגימה
blessings ,ברכות
grocery ,מַכּוֹלֶת
terminal ,מָסוֹף
parks ,פארקים
meaningless ,חֲסַר מַשְׁמָעוּת
awards ,פרסים
fade ,לִדעוֹך
hiring ,שְׂכִירָה
burton ,בורטון
fees ,עמלות
wretched ,אוּמלָל
krishna ,קרישנה
thoroughly ,בִּיסוֹדִיוּת
exhibition ,תערוכה
spends ,מבלה
denver ,דנבר
s ,ס '
winners ,זוכי
doris ,דורי
luther ,לוצר
disappearance ,הֵעָלְמוּת
madrid ,מדריד
supported ,נתמך
advised ,יַעַץ
regina ,רג'ינה
supermarket ,סוּפֶּרמַרקֶט
hereby ,בְּזֹאת
pier ,מזח
shorter ,קצר
betrayal ,בְּגִידָה
philadelphia ,פילדלפיה
christians ,נוצרים
psychology ,פְּסִיכוֹלוֹגִיָה
danielle ,דניאל
trent ,trent.
keeper ,שׁוֹמֵר
detroit ,דטרויט
canadian ,קנדי
su ,סו
associates ,conviates
gerry ,ג 'ורי
restless ,חֲסַר מְנוּחָה
collector ,אַסְפָן
marvellous ,נִפלָא
physician ,רוֹפֵא
exposure ,חשיפה
grudge ,טִינָה
lid ,מִכסֶה
followers ,עוקבים
glow ,לַהַט
submarine ,צוֹלֶלֶת
towns ,עיירות
pawn ,לְמַשְׁכֵּן
edith ,אדית
includes ,כולל
lu ,lu
proposition ,הצעה
joker ,לֵץ
spilled ,נשפך
opposition ,הִתנַגְדוּת
jang ,יאנג
haley ,היילי
hose ,צינור
partnership ,שׁוּתָפוּת
usa ,"ארה""ב"
timmy ,טימי
breathes ,נושם
whoops ,אופס
astronaut ,אַסטרוֹנָאוּט
porch ,מִרפֶּסֶת
leonardo ,לאונרדו
responding ,תשובה
wishing ,הלוואי
boil ,רְתִיחָה
kneel ,לִכרוֹעַ בֶּרֶך
tammy ,תמי
clumsy ,מגושם
rapid ,מָהִיר
xiao ,xiao
stevens ,סטיבנס
invested ,מוּשׁקָע
janice ,ג'ניס
roller ,מַכבֵּשׁ
thai ,תאילנדי
justify ,לְהַצְדִיק
garlic ,שום
yelled ,צעק
simone ,simone
ammunition ,תַחְמוֹשֶׁת
sushi ,סושי
shaft ,פיר
definition ,הַגדָרָה
gardens ,גַן
chandler ,chandler
ne ,ne
notify ,לְהוֹדִיעַ
brady ,ברדי
beasts ,beass.
setup ,להכין
greed ,חמדנות
dared ,העז
unlucky ,חסר מזל
classroom ,כיתה
treaty ,אֲמָנָה
hike ,טִיוּל
dagger ,פִּגיוֹן
spine ,עַמוּד הַשִׁדרָה
detect ,לזהות
chow ,chowe
des ,-
teenagers ,בני נוער
handwriting ,כְּתַב יָד
mock ,לִלְעוֹג
challenging ,מאתגר
salon ,סָלוֹן
virtue ,מַעֲלָה
lawsuit ,תביעה משפטית
shelly ,שלי
clap ,לִטפּוֹחַ
mustache ,שפם
offence ,עבירה
med ,תֶפף
sultan ,סולטן
attraction ,מְשִׁיכָה
franco ,פרנקו
courts ,מזורזים
fortress ,מִבצָר
café ,בֵּית קָפֶה
peel ,לקלף
petrol ,בֶּנזִין
disappears ,נעלם
asset ,נכס
warp ,לְעַקֵם
workshop ,סדנה
traps ,מלכודות
jeannie ,ג'ני
appreciated ,הוערך
condemned ,נידון
garrett ,גארט
muttering ,מִלמוּל
shook ,הוּדנוִית
naval ,שֶׁל הַצִי
egyptian ,מִצרִי
expand ,לְהַרְחִיב
sunrise ,זריחה
swine ,חֲזִיר
jingle ,ג'ִינגֵל
lordship ,אַדְנוּת
peach ,אפרסק
filmed ,מוּסרָט
pakistan ,פקיסטן
oughta ,אוקה
selection ,בְּחִירָה
squeaking ,צווחני
condom ,קוֹנדוֹם
sadie ,סאדי
barbie ,בַּרבִּי
alongside ,בַּצַד
risking ,risking
democratic ,דֵמוֹקרָטִי
nerd ,חנון
dancers ,רקדנים
crook ,נוכל
mack ,מאק
grasp ,לִתְפּוֹס
translate ,לתרגם
behaving ,התנהגות
humiliating ,משפיל
quarrel ,לָרִיב
lively ,מלא חיים
fury ,זעם
policemen ,שוטרים
sensei ,סנסאי
elders ,אלדרס
battlefield ,שדה קרב
sticky ,דָבִיק
glen ,גַיא
liu ,ליו
primitive ,פְּרִימִיטִיבִי
reign ,לִמְלוֹך
eugene ,יוג'ין
stash ,סְלִיק
evolved ,התפתחו
shifts ,משמרות
unlock ,לבטל נעילה
devices ,התקנים
peculiar ,מוּזָר
talents ,כשרונות
anita ,אניון
foreigners ,זרים
snacks ,חֲטִיפִים
mint ,מנטה
pissing ,pissing.
fuse ,נתיך
manuel ,מנואל
towers ,מגדלי
freezer ,מַקפִּיא
inheritance ,יְרוּשָׁה
villages ,כפרים
beckett ,בקט
jewel ,תַכשִׁיט
bollocks ,bollocks
shells ,פגזים
swept ,סחף
recognition ,הַכָּרָה
shovel ,את חפירה
artistic ,אָמָנוּתִי
qualities ,תכונות
ferry ,מַעבּוֹרֶת
darren ,דארן
misunderstood ,misunderstood
portal ,שַׁעַר
atomic ,אָטוֹמִי
javier ,יאבייר
ava ,ava
claiming ,בטענה
examined ,בדק
defensive ,הֲגַנָתִי
